chercheur	rôle	établissement
ⴱⵓⵣⴰⵅⵅⴰⵔ Bouzakhar, ⵎⴰⴷⵖⵉⵙ Madghis	Cocandidat	TIRA Research & Studies
Abbey, Lord	Cocandidat	Dalhousie University
Abele, Frances	Cocandidat	Carleton University
Ahkimnachie, Kevin	Cocandidat	Treaty 8 First Nations of Alberta
Ahmed, Nazeer	Cocandidat	Balochistan University of Information Technology Engineering and management sciences
Ahnassay, James	Collaborateur	Dene Tha' First Nation (Region 5)
Alook, Sharlene	Collaborateur	Bigstone Cree First Nation (Region 11)
Amira, Sofiene	Collaborateur	Centre québécois de recherche et de développement de l'aluminium (CQRDA)
Amon, Cristina	Cocandidat	University of Toronto
Amos, Kelsey	Cocandidat	Purple Maia Foundation
Andersson, Dag	Collaborateur	XVIVO Perfusion
Andre, Shane	Collaborateur	Yukon Government
Andreeva, Tamara	Collaborateur	Snowchange Collective (Region 24)
Andrew, Leon	Collaborateur	Sahtu Renewable Resources Board (Region 5)
Arbachakov, Alexander	Cocandidat	Council of Elders of the Shor People
Arbachakov, Alexander	Collaborateur	Shor Nation (Region 23)
Arbachakov, Luba	Collaborateur	Shor Nation (Region 23)
Argumedo, Alejandro	Cocandidat	Asociacion ANDES
Aubert, Isabelle	Cochercheur principal	Sunnybrook Research Institute
Azimi, Gisele	Cocandidat	University of Toronto
Baddeley, Christopher	Cocandidat	University of St Andrews
Badea, Ildiko	Cocandidat	University of Saskatchewan
Badger, Jim	Collaborateur	Sucker Creek First Nation (Region 11)
BADI, Dida	Cocandidat	Centre de ressources de Kidal (CRK), Région de Kidal
Badiwala, Mitesh	Cocandidat	University Health Network
Baehre, Rainer	Collaborateur	Memorial University
Baker, Kukik	Collaborateur	Aqqiumavvik Society (Region 7)
Baker, Sarah E.	Collaborateur	Lawrence Livermore National Laboratory
Barla, Nicholas	Collaborateur	CBCI - Office of Tribal Affairs, Indigenous Peoples Forum(Region 29)
Barry, Sean	Collaborateur	Carleton University
Bartha, Robert	Cocandidat	Western University
Bartis, Jami	Collaborateur	One Fire Associates, LLC (Region 36)
Basset, Fabian	Collaborateur	Memorial University
Baum, Julia	Cochercheur principal	University of Victoria
Baxter, Jennifer Fresque	Collaborateur	Government of NWT
Bazylak, Aimy	Cocandidat	University of Toronto
Beauregard, Jean-Mathieu	Cocandidat	Université Laval
Bénard, François	Chercheur principal désigné	The University of British Columbia
Benesiinaabandan, Scott	Cocandidat	The University of Winnipeg
Bengio, Yoshua	Cocandidat	Université de Montréal
Berger, Michael	Cocandidat	International Collaboration on Repair Discoveries
Bergerson, Joule	Cocandidat	University of Calgary
Berkes, Fikret	Cocandidat	University of Manitoba
Berlin, Alejandro	Collaborateur	Princess Margaret Cancer Center and the University of Toronto
Berlinguette, Curtis	Cocandidat	The University of British Columbia
Besco, Laurel	Cocandidat	University of Toronto
Bethell, Jennifer	Cocandidat	University Health Network
Betsina, Ernest	Collaborateur	Yellowknives Dene First Nations (Region 5)
Biktashev, Vadim	Cochercheur principal	University of Exeter
Birss, Viola	Cocandidat	University of Calgary
Black, Sandra	Collaborateur	Sunnybrook Research Institute
Blakney, Anna	Cocandidat	The University of British Columbia
Blondi-Andrew, Ethel	Collaborateur	Sahtu Dene (Region 5)
Blundell, Jacqueline	Cocandidat	Memorial University of Newfoundland
Bonyhady, Bruce	Cocandidat	University of Melbourne
Bou Dagher Kharrat, Magda	Cocandidat	Université Saint-Joseph de Beyrouth
Brandon, Mark	Cocandidat	Université McGill
Brandys, Frank	Collaborateur	3M Canada
Breen, Jimmy	Cocandidat	South Australian Health & Medical Research Institute
Broomell, Stephen	Cocandidat	Purdue University
Chercheur	Rôle	Établissement
Brouwer, Eric	Collaborateur	SQI Diagnostics
Brown, Allison	Collaborateur	University of Toronto
Brown, David	Collaborateur	Canadian Imperial Bank of Commerce (CIBC)
Brown, Michelle	Cocandidat	Washington State University
Bruyere, Susanne	Cocandidat	Cornell University
Bub, Gil	Cochercheur principal	Université McGill
Buettgen, Alexis	Collaborateur	Université York
Bullock, Ryan	Cocandidat	The University of Winnipeg
Bussey, Timothy	Cocandidat	Western University
Butcher, Buntika	Cocandidat	Chulalongkorn University
Capicciotti, Chantelle	Cochercheur principal	Queen's University
Caroll, Clint	Collaborateur	University of Colorado Boulder (Region 36)
Carr, Krista	Collaborateur	Association canadienne pour l'intégration communautaire
Carroll, Clint	Cocandidat	University of Colorado Boulder
Carter, Ken	Cocandidat	Memorial University of Newfoundland
Cashman, Neil	Cocandidat	The University of British Columbia
Casimirri, Giuliana	Collaborateur	Green Venture
Castle, David	Cochercheur principal	University of Victoria
