projet,concours,chercheur,rôle,établissement,Pays,Province / Territoire
A pipeline approach for the rational design of neuronal lineage conversion approaches to treat neurological disorders,2022,"Götz, Magdalena",Cocandidat,"Biomedical Center, Ludwig Maximilian University of Munich",Allemagne,
A pipeline approach for the rational design of neuronal lineage conversion approaches to treat neurological disorders,2022,"Stricker, Stefan",Cocandidat,LMU Munich,Allemagne,
A pipeline approach for the rational design of neuronal lineage conversion approaches to treat neurological disorders,2022,"Choque, Maria Eugenia",Collaborateur,Aymara Nation (Region 43),Bolivie,
A pipeline approach for the rational design of neuronal lineage conversion approaches to treat neurological disorders,2022,"Badea, Ildiko",Cocandidat,University of Saskatchewan,Canada,Saskatchewan
A pipeline approach for the rational design of neuronal lineage conversion approaches to treat neurological disorders,2022,"Bethell, Jennifer",Cocandidat,University Health Network,Canada,Ontario
A pipeline approach for the rational design of neuronal lineage conversion approaches to treat neurological disorders,2022,"Blakney, Anna",Cocandidat,The University of British Columbia,Canada,Colombie-Britannique
A pipeline approach for the rational design of neuronal lineage conversion approaches to treat neurological disorders,2022,"Drouin-Ouellet, Janelle",Cocandidat,Université de Montréal,Canada,Québec
A pipeline approach for the rational design of neuronal lineage conversion approaches to treat neurological disorders,2022,"Gibbings, Derrick",Cocandidat,Université d'Ottawa,Canada,Ontario
A pipeline approach for the rational design of neuronal lineage conversion approaches to treat neurological disorders,2022,"Jacobs-LeVan, Julia",Cocandidat,University of Calgary,Canada,Alberta
A pipeline approach for the rational design of neuronal lineage conversion approaches to treat neurological disorders,2022,"Kurrasch, Deborah",Cochercheur principal,University of Calgary,Canada,Alberta
A pipeline approach for the rational design of neuronal lineage conversion approaches to treat neurological disorders,2022,"McAiney, Carrie",Cocandidat,University of Waterloo,Canada,Ontario
A pipeline approach for the rational design of neuronal lineage conversion approaches to treat neurological disorders,2022,"Morshead, Cindi",Cochercheur principal,University of Toronto,Canada,Ontario
A pipeline approach for the rational design of neuronal lineage conversion approaches to treat neurological disorders,2022,"Near, James",Cochercheur principal,University of Toronto,Canada,Ontario
A pipeline approach for the rational design of neuronal lineage conversion approaches to treat neurological disorders,2022,"Ogbogu, Ubaka",Cocandidat,University of Alberta,Canada,Alberta
A pipeline approach for the rational design of neuronal lineage conversion approaches to treat neurological disorders,2022,"Slavcev, Roderick",Cochercheur principal,University of Waterloo,Canada,Ontario
A pipeline approach for the rational design of neuronal lineage conversion approaches to treat neurological disorders,2022,"Yang, Guang",Cocandidat,University of Calgary,Canada,Alberta
A pipeline approach for the rational design of neuronal lineage conversion approaches to treat neurological disorders,2022,"Levan, Pierre",Collaborateur,University of Calgary,Canada,Alberta
A pipeline approach for the rational design of neuronal lineage conversion approaches to treat neurological disorders,2022,"Moola, Faizal",Cocandidat,University of Guelph,Canada,Ontario
A pipeline approach for the rational design of neuronal lineage conversion approaches to treat neurological disorders,2022,"Aubert, Isabelle",Cochercheur principal,Sunnybrook Research Institute,Canada,Ontario
A pipeline approach for the rational design of neuronal lineage conversion approaches to treat neurological disorders,2022,"Hynynen, Kullervo",Cocandidat,Sunnybrook Research Institute,Canada,Ontario
A pipeline approach for the rational design of neuronal lineage conversion approaches to treat neurological disorders,2022,"Leong, Hon",Cocandidat,Sunnybrook Research Institute,Canada,Ontario
A pipeline approach for the rational design of neuronal lineage conversion approaches to treat neurological disorders,2022,"Mattar, Pierre",Cochercheur principal,Institut de recherche de l'Hôpital d'Ottawa,Canada,Ontario
A pipeline approach for the rational design of neuronal lineage conversion approaches to treat neurological disorders,2022,"Schuurmans, Carol",Chercheur principal désigné,Sunnybrook Research Institute,Canada,Ontario
A pipeline approach for the rational design of neuronal lineage conversion approaches to treat neurological disorders,2022,"Stefanovic, Bojana",Cochercheur principal,Sunnybrook Research Institute,Canada,Ontario
A pipeline approach for the rational design of neuronal lineage conversion approaches to treat neurological disorders,2022,"McLaurin, JoAnne",Cochercheur principal,Sunnybrook Research Institute,Canada,Ontario
A pipeline approach for the rational design of neuronal lineage conversion approaches to treat neurological disorders,2022,"Black, Sandra",Collaborateur,Sunnybrook Research Institute,Canada,Ontario
A pipeline approach for the rational design of neuronal lineage conversion approaches to treat neurological disorders,2022,"del Sol, Antonio",Cochercheur principal,Center for Cooperative Research in Biosciences (CIC bioGUNE),Espagne,
A pipeline approach for the rational design of neuronal lineage conversion approaches to treat neurological disorders,2022,"Caroll, Clint",Collaborateur,University of Colorado Boulder (Region 36),États-Unis,Colorado
A pipeline approach for the rational design of neuronal lineage conversion approaches to treat neurological disorders,2022,"Rho, Jong",Collaborateur,University of California San Diego,États-Unis,Californie
A pipeline approach for the rational design of neuronal lineage conversion approaches to treat neurological disorders,2022,"Castro, Diogo",Cocandidat,Universidade do Porto,Portugal,
Abundant Intelligences: Expanding Artificial Intelligence through Indigenous Knowledge Systems,2022,"Running Wolf, Caroline",Collaborateur,Buffalo Tongue Inc.,Canada,Colombie-Britannique
Abundant Intelligences: Expanding Artificial Intelligence through Indigenous Knowledge Systems,2022,"Deenik, Jonathan",Collaborateur,University of Hawai`i,États-Unis,Hawaii
Abundant Intelligences: Expanding Artificial Intelligence through Indigenous Knowledge Systems,2022,"Kuwada, Bryan",Cocandidat,University of Hawai?i-Manoa,États-Unis,Hawaii
Abundant Intelligences: Expanding Artificial Intelligence through Indigenous Knowledge Systems,2022,"Leigh, Jason",Cocandidat,University of Hawaii at Manoa,États-Unis,Hawaii
Abundant Intelligences: Expanding Artificial Intelligence through Indigenous Knowledge Systems,2022,"Parker Jones, Oiwi",Cocandidat,University of Oxford,Angleterre,
Abundant Intelligences: Expanding Artificial Intelligence through Indigenous Knowledge Systems,2022,"Benesiinaabandan, Scott",Cocandidat,University of Winnipeg,Canada,Manitoba
Abundant Intelligences: Expanding Artificial Intelligence through Indigenous Knowledge Systems,2022,"Bengio, Yoshua",Cocandidat,Université de Montréal,Canada,Québec
Abundant Intelligences: Expanding Artificial Intelligence through Indigenous Knowledge Systems,2022,"Courville, Aaron",Cocandidat,Université de Montréal,Canada,Québec
Abundant Intelligences: Expanding Artificial Intelligence through Indigenous Knowledge Systems,2022,"Diamond, Sara",Cocandidat,OCAD University,Canada,Ontario
Abundant Intelligences: Expanding Artificial Intelligence through Indigenous Knowledge Systems,2022,"Dumas, Guillaume",Cocandidat,Université de Montréal,Canada,Québec
Abundant Intelligences: Expanding Artificial Intelligence through Indigenous Knowledge Systems,2022,"Igloliorte, Heather",Cocandidat,Université Concordia,Canada,Québec
Abundant Intelligences: Expanding Artificial Intelligence through Indigenous Knowledge Systems,2022,"Jerbi, Karim",Cocandidat,Université de Montréal,Canada,Québec
Abundant Intelligences: Expanding Artificial Intelligence through Indigenous Knowledge Systems,2022,"Ladner, Kiera",Cocandidat,University of Manitoba,Canada,Manitoba
Abundant Intelligences: Expanding Artificial Intelligence through Indigenous Knowledge Systems,2022,"Lewis, Jason",Chercheur principal désigné,Université Concordia,Canada,Québec
Abundant Intelligences: Expanding Artificial Intelligence through Indigenous Knowledge Systems,2022,"Little Bear, Leroy",Collaborateur,University of Lethbridge,Canada,Alberta
Abundant Intelligences: Expanding Artificial Intelligence through Indigenous Knowledge Systems,2022,"McKelvey, Fenwick",Cocandidat,Université Concordia,Canada,Québec
Abundant Intelligences: Expanding Artificial Intelligence through Indigenous Knowledge Systems,2022,"Muller, Eilif",Cocandidat,Université de Montréal,Canada,Québec
Abundant Intelligences: Expanding Artificial Intelligence through Indigenous Knowledge Systems,2022,"Nagam, Julie",Cocandidat,University of Winnipeg,Canada,Manitoba
Abundant Intelligences: Expanding Artificial Intelligence through Indigenous Knowledge Systems,2022,"Pechawis, Archer",Cocandidat,Université York,Canada,Ontario
Abundant Intelligences: Expanding Artificial Intelligence through Indigenous Knowledge Systems,2022,"Richards, Blake",Cocandidat,Université McGill,Canada,Québec
Abundant Intelligences: Expanding Artificial Intelligence through Indigenous Knowledge Systems,2022,"Rice, Jacqueline",Cocandidat,University of Lethbridge,Canada,Alberta
Abundant Intelligences: Expanding Artificial Intelligence through Indigenous Knowledge Systems,2022,"Ubalijoro, Eliane",Cocandidat,Université Concordia,Canada,Québec
Abundant Intelligences: Expanding Artificial Intelligence through Indigenous Knowledge Systems,2022,"Leween, Jackson",Cocandidat,University of Lethbridge,Canada,Alberta
Abundant Intelligences: Expanding Artificial Intelligence through Indigenous Knowledge Systems,2022,"Cheung, Melanie",Cocandidat,Blackfoot Confederacy Tribal Council Health,Canada,Alberta
Abundant Intelligences: Expanding Artificial Intelligence through Indigenous Knowledge Systems,2022,"Brown, Michelle",Cocandidat,Washington State University,États-Unis,
Abundant Intelligences: Expanding Artificial Intelligence through Indigenous Knowledge Systems,2022,"Cordes, Ashley",Cocandidat,University of Utah,États-Unis,Utah
Abundant Intelligences: Expanding Artificial Intelligence through Indigenous Knowledge Systems,2022,"Crow, Susan",Cocandidat,University of Hawaii Manoa,États-Unis,
Abundant Intelligences: Expanding Artificial Intelligence through Indigenous Knowledge Systems,2022,"Enos, Kamuela",Cocandidat,University of Hawaii,États-Unis,
Abundant Intelligences: Expanding Artificial Intelligence through Indigenous Knowledge Systems,2022,"Harrell, D. Fox",Cocandidat,Massachusetts Institute of Technology,États-Unis,
