Titre de la demande / Application Title,Concours / Award,Chercheur-e principal-e désigné-e / Nominated Principal Investigator (PI),profil scholar,affiliation,interests
Rare Isotopes to Transform Cancer Therapy,2022,"Bénard, François",https://scholar.google.ca/citations?user=iZ2An1QAAAAJ&hl=en,"Professor of Radiology, University of British Columbia","['Nuclear medicine', 'positron emission tomography', 'cancer imaging', 'breast cancer', 'receptor imaging']"
Enabling novel cardiac therapies with pluripotent stem cells,2022,"Laflamme, Michael",https://scholar.google.ca/citations?user=ZmBHYvgAAAAJ&hl=en,University Health Network,[]
Abundant Intelligences: Expanding Artificial Intelligence through Indigenous Knowledge Systems,2022,"Lewis, Jason",https://scholar.google.com/citations?user=Yd-pXcoAAAAJ&hl=en,"Prof. of Design and Computation Arts, Concordia University","['typography', 'interactive art', 'critical AI', 'Indigenous media', 'computational media theory']"
TRIDENT: TRanslational Initiative to DE-risk NeuroTherapeutics,2022,"Menon, Ravi",https://scholar.google.com/citations?user=1JrrurIAAAAJ&hl=en,The University of Western Ontario,"['Neuroscience', 'Neuroimaging', 'fMRI', 'magnetic resonance imaging']"
A pipeline approach for the rational design of neuronal lineage conversion approaches to treat neurological disorders,2022,"Schuurmans, Carol",https://scholar.google.ca/citations?user=hqwq5oQAAAAJ&hl=en,"Senior Scientist, Sunnybrook Research Institute, Professor, Biochemistry, University of Toronto","['Neural cell fate determination', 'Neocortex', 'Retina', 'Development', 'Transcription Factors']"
CANSTOREnergy: Seasonal storage of renewable energy,2022,"Sinton, David",https://scholar.google.ca/citations?user=Dgdo64MAAAAJ&hl=en,University of Toronto,"['energy', 'fluids', 'CO2 conversion', 'CO2 capture', 'electrochemical systems']"
BIOSCAN: Tracing the Patterns of Life on a Changing Planet,2020,"Hebert, Paul",https://scholar.google.com/citations?user=VScbxfoAAAAJ&hl=en,"Director, Centre for Biodiversity Genomics, University of Guelph","['Biodiversity Science', 'Evolution', 'Genetics', 'Ecology', 'DNA barcoding']"
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Parlee, Brenda",https://scholar.google.ca/citations?user=QRcU4-cAAAAJ&hl=en,"Professor, Dept of Resource Economics and Environmental Sociology","['community-based resource management', 'biodiversity', 'well-being', 'Indigenous Knowledge']"
Mend the Gap: A Transformative Biomaterials Platform for Spinal Cord Repair,2020,"Madden, John",https://scholar.google.ca/citations?user=SOkJC3MAAAAJ&hl=en,"Electrical and Computer Engineering, University of British Columbia, V6T 1Z4","['artificial muscle', 'piezoionics', 'soft sensors', 'electroactive polymers', 'smart materials']"
Inclusive Design for Employment Access (IDEA),2020,"Tompa, Emile",https://scholar.google.com/citations?user=nuGBnpUAAAAJ&hl=en,Senior Scientist,"['Work Disability Policy', 'Occupational Health and Safety', 'Labour Economics', 'Health Economics']"
Repurposing Marine By-Products or raw Materials for the Development and Production of Functional Foods and Bioactives to Improve Human Health and Coastal Community Sustainability,2020,"Thomas, Raymond",https://scholar.google.ca/citations?user=-P0MyfgAAAAJ&hl=en,"Professor , Memorial University","['Functional foods', 'environmental stress biology', 'lipid bioinformatics', 'brain health', 'agriculture']"
Protection of Metallic Surfaces from Bulk to Nano Through Molecular-Level Innovation,2020,"Crudden, Cathleen",https://scholar.google.com/citations?user=V0qMwSkAAAAJ&hl=en,Queen's University,['Chemistry']
The Next Frontier in Transplantation: Ex Vivo Strategies to Repair and Rebuild Organs,2020,"Keshavjee, Shaf",https://scholar.google.ca/citations?user=vGPoLZQAAAAJ&hl=en,"Doctors of Thoracic Surgery, Toronto General Hospital, UHN","['thoracic surgery', 'lung transplant', 'lung cancer']"
