projet,concours,chercheur,établissement,type affiliation
Protection of Metallic Surfaces from Bulk to Nano Through Molecular-Level Innovation,2020,"Brandys, Frank",3M Canada,Industriel / Corporatif
Protection of Metallic Surfaces from Bulk to Nano Through Molecular-Level Innovation,2020,"Nielson, Kent",3M Canada,Industriel / Corporatif
BIOSCAN: Tracing the Patterns of Life on a Changing Planet,2020,"Marcotte, Michele",Agriculture et agroalimentaire Canada,Organisation nationale / Internationale
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Giroux, Diane",Akaitcho First Nations (Region 5),Premières nations
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Chowdhury, Ashok",All India Union of Forest Working Group (Region 29),Organisation nationale / Internationale
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Malik, Roma",All India Union of Forest Working Group (Region 29),Organisation nationale / Internationale
TRIDENT: TRanslational Initiative to DE-risk NeuroTherapeutics,2022,"Walters, Carol",Alzheimer Society London and Middlesex,Organisation nationale / Internationale
BIOSCAN: Tracing the Patterns of Life on a Changing Planet,2020,"Keskin, Emre",Ankara University,Académique / Recherche
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Baker, Kukik",Aqqiumavvik Society (Region 7),Premières nations
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Argumedo, Alejandro",Asociacion ANDES,ONG
Inclusive Design for Employment Access (IDEA),2020,"Carr, Krista",Association canadienne pour l'intégration communautaire,Organisation nationale / Internationale
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Wallet Mohamed Aboubakrine, Mariam",Association Tinhinan Canada,Organisation nationale / Internationale
CANSTOREnergy: Seasonal storage of renewable energy,2022,"Cullen, Bill",ATCO Electric Yukon,Industriel / Corporatif
Inclusive Design for Employment Access (IDEA),2020,"Volpe, Flavio",Automotive Parts Manufacturers' Association,Industriel / Corporatif
Inclusive Design for Employment Access (IDEA),2020,"Laberge, Marie",axe Maladies musculosquelettiques et réadaptation - Centre hospitalier Universitaire Sainte-Justine,Académique / Recherche
A pipeline approach for the rational design of neuronal lineage conversion approaches to treat neurological disorders,2022,"Choque, Maria Eugenia",Aymara Nation (Region 43),Premières nations
BIOSCAN: Tracing the Patterns of Life on a Changing Planet,2020,"Ahmed, Nazeer",Balochistan University of Information Technology Engineering and management sciences,Académique / Recherche
BIOSCAN: Tracing the Patterns of Life on a Changing Planet,2020,"Hausmann, Axel",Bavarian State Collection of Zoology,Institution muséale
Rare Isotopes to Transform Cancer Therapy,2022,"Uribe, Carlos",BC Cancer,Organisation nationale / Internationale
Rare Isotopes to Transform Cancer Therapy,2022,"Regier, Dean",BC Cancer - BC Cancer Research Centre,Académique / Recherche
BIOSCAN: Tracing the Patterns of Life on a Changing Planet,2020,"Day, Andrew",BC Parks Foundation,Fondation
