Place Name,Latitude,Longitude
Saskatchewan,55.000000,-106.000000
Île-du-Prince-Édouard,46.250000,-63.000000
Ontario,50.000000,-85.000000
Nouvelle-Écosse,45.000000,-63.000000
Alberta,55.000000,-115.000000
Colombie-Britannique,53.726669,-127.647621
Manitoba,56.415211,-98.739075
Terre-Neuve-et-Labrador,53.135509,-57.660435
Nouveau-Brunswick,46.498390,-66.159668
Québec,53.000000,-70.000000
Territoires du Nord-Ouest, 62.453972, -114.371788
Nunavut, 70.453262,  -86.798981
Yukon, 64.000000, -135.000000
